time,requestcount
100,2
200,17
300,12
400,15
500,14
600,20
700,14
800,20
900,17
1000,28
1100,38
1200,45
1300,321
1400,2321
1500,8069
1600,23571
1700,44701
1800,50170
1900,46128
2000,26796
2100,9685
2200,3937
2300,2133
2400,1205
2500,625
2600,372
2700,245
2800,255
2900,177
3000,127
3100,96
3200,96
3300,81
3400,70
3500,65
3600,64
3700,56
3800,42
3900,55
4000,57
4100,44
4200,46
4300,43
4400,35
4500,31
4600,29
4700,30
4800,53
4900,42
5000,18
5100,19
5200,18
5300,22
5400,15
5500,31
5600,41
5700,57
5800,70
5900,47
6000,43
6100,40
6200,41
6300,50
6400,48
6500,65
6600,30
6700,38
6800,57
6900,51
7000,72
7100,82
7200,149
7300,191
7400,379
7500,516
7600,680
7700,927
7800,1077
7900,1149
8000,1210
8100,1004
8200,874
8300,803
8400,819
8500,671
8600,394
8700,246
8800,183
8900,106
9000,59
9100,35
9200,25
9300,14
9400,29
9500,21
9600,8
9700,20
9800,18
9900,11
10000,8
10100,12
10200,25
10300,35
10400,17
10500,19
10600,6
10700,4
10800,5
10900,11
11000,22
11100,21
11200,21
11300,20
11400,25
11500,19
11600,24
11700,13
11800,20
11900,14
12000,28
12100,49
12200,58
12300,70
12400,108
12500,136
12600,164
12700,256
12800,332
12900,316
13000,431
13100,502
13200,558
13300,668
13400,595
13500,622
13600,670
13700,736
13800,774
13900,679
14000,590
14100,569
14200,500
14300,446
14400,391
14500,340
14600,311
14700,274
14800,204
14900,168
15000,145
15100,70
15200,75
15300,62
15400,38
15500,29
15600,32
15700,14
15800,14
15900,16
16000,7
16100,2
16200,6
16300,9
16400,8
16500,4
16600,1
16700,5
16800,5
16900,2
17000,2
17100,2
17200,4
17300,5
17400,4
17500,4
17600,4
17700,3
17800,3
17900,1
18000,2
18100,3
18200,9
18300,7
18400,3
18500,3
18600,4
18700,1
18800,8
18900,5
19000,9
19100,7
19200,6
19300,8
19400,10
19500,21
19600,36
19700,34
19800,53
19900,84
20000,60
20100,71
20200,68
20300,48
20400,54
20500,46
20600,40
20700,23
20800,20
20900,9
21000,21
21100,12
21200,8
21300,9
21400,8
21500,2
21600,2
21700,1
21800,0
21900,1
22000,3
22100,0
22200,0
22300,1
22400,0
22500,0
22600,0
22700,0
22800,0
22900,2
23000,10
23100,7
23200,1
23300,0
23400,0
23500,0
23600,0
23700,0
23800,0
23900,0
24000,0
24100,0
24200,0
24300,0
24400,0
24500,0
24600,0
24700,0
24800,0
24900,0
25000,0
25100,0
25200,0
25300,0
25400,0
25500,0
25600,0
25700,0
25800,0
25900,0
26000,0
26100,0
26200,0
26300,0
26400,0
26500,0
26600,1
26700,0
26800,1
